"flexType"	"Freq"	"monthlyType"	"Freq.1"	"dailyType"	"Freq.2"
"One Way"	9034	"One Way"	77532	"One Way"	32777
"Round Trip"	483	"Round Trip"	3772	"Round Trip"	8447
